assessment_id,course_id,max_score
ASS-0001,CORS-0045,100
ASS-0002,CORS-0006,100
ASS-0003,CORS-0078,100
ASS-0004,CORS-0012,100
ASS-0005,CORS-0060,100
ASS-0006,CORS-0074,100
ASS-0007,CORS-0040,100
ASS-0008,CORS-0062,100
ASS-0009,CORS-0092,100
ASS-0010,CORS-0082,100
ASS-0011,CORS-0061,100
ASS-0012,CORS-0090,100
ASS-0013,CORS-0084,100
ASS-0014,CORS-0043,100
ASS-0015,CORS-0068,100
ASS-0016,CORS-0085,100
ASS-0017,CORS-0092,100
ASS-0018,CORS-0099,100
ASS-0019,CORS-0044,100
ASS-0020,CORS-0099,100
ASS-0021,CORS-0003,100
ASS-0022,CORS-0087,100
ASS-0023,CORS-0035,100
ASS-0024,CORS-0066,100
ASS-0025,CORS-0063,100
ASS-0026,CORS-0064,100
ASS-0027,CORS-0022,100
ASS-0028,CORS-0063,100
ASS-0029,CORS-0009,100
ASS-0030,CORS-0001,100
ASS-0031,CORS-0096,100
ASS-0032,CORS-0006,100
ASS-0033,CORS-0011,100
ASS-0034,CORS-0048,100
ASS-0035,CORS-0011,100
ASS-0036,CORS-0004,100
ASS-0037,CORS-0099,100
ASS-0038,CORS-0080,100
ASS-0039,CORS-0013,100
ASS-0040,CORS-0020,100
ASS-0041,CORS-0024,100
ASS-0042,CORS-0083,100
ASS-0043,CORS-0074,100
ASS-0044,CORS-0024,100
ASS-0045,CORS-0050,100
ASS-0046,CORS-0077,100
ASS-0047,CORS-0074,100
ASS-0048,CORS-0029,100
ASS-0049,CORS-0091,100
ASS-0050,CORS-0066,100
ASS-0051,CORS-0017,100
ASS-0052,CORS-0004,100
ASS-0053,CORS-0026,100
ASS-0054,CORS-0079,100
ASS-0055,CORS-0005,100
ASS-0056,CORS-0074,100
ASS-0057,CORS-0092,100
ASS-0058,CORS-0034,100
ASS-0059,CORS-0098,100
ASS-0060,CORS-0007,100
ASS-0061,CORS-0043,100
ASS-0062,CORS-0007,100
ASS-0063,CORS-0006,100
ASS-0064,CORS-0055,100
ASS-0065,CORS-0005,100
ASS-0066,CORS-0056,100
ASS-0067,CORS-0050,100
ASS-0068,CORS-0092,100
ASS-0069,CORS-0002,100
ASS-0070,CORS-0007,100
ASS-0071,CORS-0058,100
ASS-0072,CORS-0014,100
ASS-0073,CORS-0030,100
ASS-0074,CORS-0058,100
ASS-0075,CORS-0001,100
ASS-0076,CORS-0071,100
ASS-0077,CORS-0070,100
ASS-0078,CORS-0040,100
ASS-0079,CORS-0037,100
ASS-0080,CORS-0089,100
ASS-0081,CORS-0017,100
ASS-0082,CORS-0065,100
ASS-0083,CORS-0037,100
ASS-0084,CORS-0042,100
ASS-0085,CORS-0094,100
ASS-0086,CORS-0055,100
ASS-0087,CORS-0074,100
ASS-0088,CORS-0027,100
ASS-0089,CORS-0045,100
ASS-0090,CORS-0086,100
ASS-0091,CORS-0021,100
ASS-0092,CORS-0059,100
ASS-0093,CORS-0075,100
ASS-0094,CORS-0085,100
ASS-0095,CORS-0047,100
ASS-0096,CORS-0080,100
ASS-0097,CORS-0011,100
ASS-0098,CORS-0046,100
ASS-0099,CORS-0025,100
ASS-0100,CORS-0060,100
