enrollment_id,user_id,course_id,enrollment_date
ERL-0001,USR-0077,CORS-0077,2025-07-22 05:05:45
ERL-0002,USR-0094,CORS-0040,2026-03-13 07:43:33
ERL-0003,USR-0021,CORS-0033,2025-11-19 18:38:08
ERL-0004,USR-0020,CORS-0037,2024-06-06 21:40:50
ERL-0005,USR-0047,CORS-0075,2024-12-21 12:28:00
ERL-0006,USR-0031,CORS-0025,2024-08-06 03:09:19
ERL-0007,USR-0029,CORS-0039,2026-01-24 14:55:17
ERL-0008,USR-0073,CORS-0045,2025-02-22 03:36:51
ERL-0009,USR-0014,CORS-0100,2025-09-28 05:18:16
ERL-0010,USR-0019,CORS-0088,2025-11-08 01:43:15
ERL-0011,USR-0020,CORS-0062,2024-07-18 18:48:46
ERL-0012,USR-0031,CORS-0057,2025-12-31 14:01:35
ERL-0013,USR-0081,CORS-0078,2025-04-01 03:31:17
ERL-0014,USR-0029,CORS-0062,2025-10-07 01:38:37
ERL-0015,USR-0087,CORS-0075,2026-01-02 14:07:22
ERL-0016,USR-0085,CORS-0097,2025-06-17 22:08:44
ERL-0017,USR-0054,CORS-0079,2025-05-16 06:30:52
ERL-0018,USR-0060,CORS-0003,2025-08-22 01:26:24
ERL-0019,USR-0009,CORS-0095,2024-10-13 12:22:15
ERL-0020,USR-0002,CORS-0078,2025-05-12 03:57:23
ERL-0021,USR-0033,CORS-0039,2024-08-02 05:20:47
ERL-0022,USR-0089,CORS-0002,2025-11-13 05:16:56
ERL-0023,USR-0037,CORS-0081,2025-06-28 22:16:25
ERL-0024,USR-0046,CORS-0038,2026-03-29 21:43:17
ERL-0025,USR-0075,CORS-0082,2024-08-25 00:28:52
ERL-0026,USR-0055,CORS-0053,2025-11-05 08:18:07
ERL-0027,USR-0082,CORS-0042,2024-08-30 07:59:01
ERL-0028,USR-0046,CORS-0079,2024-08-18 02:03:00
ERL-0029,USR-0070,CORS-0026,2025-11-26 19:01:14
ERL-0030,USR-0088,CORS-0089,2025-03-19 20:00:05
ERL-0031,USR-0078,CORS-0066,2025-03-20 14:50:03
ERL-0032,USR-0091,CORS-0070,2026-03-11 04:48:22
ERL-0033,USR-0037,CORS-0066,2024-12-28 09:10:15
ERL-0034,USR-0012,CORS-0087,2024-09-01 04:07:59
ERL-0035,USR-0050,CORS-0062,2024-10-11 07:16:45
ERL-0036,USR-0079,CORS-0064,2024-09-23 10:45:51
ERL-0037,USR-0078,CORS-0057,2025-02-21 12:10:30
ERL-0038,USR-0007,CORS-0049,2025-04-18 16:02:39
ERL-0039,USR-0034,CORS-0051,2025-02-22 13:18:59
ERL-0040,USR-0082,CORS-0039,2026-01-29 09:36:25
ERL-0041,USR-0068,CORS-0097,2025-05-15 14:59:51
ERL-0042,USR-0042,CORS-0029,2025-09-06 21:09:19
ERL-0043,USR-0075,CORS-0002,2025-07-20 21:10:26
ERL-0044,USR-0092,CORS-0100,2026-04-15 23:28:03
ERL-0045,USR-0073,CORS-0033,2024-12-04 19:45:43
ERL-0046,USR-0054,CORS-0043,2024-11-03 10:02:53
ERL-0047,USR-0071,CORS-0071,2025-10-20 08:30:48
ERL-0048,USR-0003,CORS-0079,2024-12-04 12:55:11
ERL-0049,USR-0053,CORS-0057,2025-05-23 15:29:51
ERL-0050,USR-0075,CORS-0073,2025-07-19 09:10:52
ERL-0051,USR-0074,CORS-0061,2025-11-27 02:56:22
ERL-0052,USR-0039,CORS-0048,2025-06-29 13:22:59
ERL-0053,USR-0062,CORS-0057,2025-12-16 14:22:09
ERL-0054,USR-0011,CORS-0025,2024-09-29 05:04:41
ERL-0055,USR-0014,CORS-0043,2025-01-06 12:24:48
ERL-0056,USR-0065,CORS-0058,2025-01-21 17:15:56
ERL-0057,USR-0053,CORS-0069,2025-06-03 00:54:38
ERL-0058,USR-0097,CORS-0016,2025-02-07 06:47:28
ERL-0059,USR-0012,CORS-0025,2025-09-12 13:53:39
ERL-0060,USR-0034,CORS-0011,2026-01-05 21:01:19
ERL-0061,USR-0023,CORS-0072,2026-02-08 06:31:08
ERL-0062,USR-0068,CORS-0052,2025-11-15 01:57:51
ERL-0063,USR-0100,CORS-0067,2024-08-08 14:30:45
ERL-0064,USR-0022,CORS-0096,2026-04-23 09:03:44
ERL-0065,USR-0005,CORS-0019,2025-08-08 03:53:54
ERL-0066,USR-0034,CORS-0048,2025-11-19 00:30:11
ERL-0067,USR-0066,CORS-0055,2024-08-08 13:16:06
ERL-0068,USR-0056,CORS-0023,2024-09-24 00:36:47
ERL-0069,USR-0087,CORS-0037,2025-04-23 14:12:17
ERL-0070,USR-0005,CORS-0020,2026-01-23 19:03:40
ERL-0071,USR-0092,CORS-0047,2025-05-26 11:10:52
ERL-0072,USR-0061,CORS-0065,2026-04-13 21:32:18
ERL-0073,USR-0074,CORS-0097,2025-03-13 11:00:54
ERL-0074,USR-0017,CORS-0072,2025-08-12 11:53:00
ERL-0075,USR-0076,CORS-0006,2024-12-09 06:21:17
ERL-0076,USR-0058,CORS-0014,2024-12-18 15:49:14
ERL-0077,USR-0007,CORS-0066,2025-12-18 02:31:04
ERL-0078,USR-0087,CORS-0008,2026-03-07 18:24:08
ERL-0079,USR-0062,CORS-0083,2025-10-14 14:35:41
ERL-0080,USR-0077,CORS-0096,2025-06-24 17:16:25
ERL-0081,USR-0010,CORS-0032,2024-07-14 12:57:59
ERL-0082,USR-0073,CORS-0017,2025-12-17 11:20:34
ERL-0083,USR-0066,CORS-0028,2026-04-14 07:26:23
ERL-0084,USR-0018,CORS-0047,2026-04-16 15:39:40
ERL-0085,USR-0004,CORS-0015,2025-08-28 14:20:53
ERL-0086,USR-0091,CORS-0081,2025-08-07 00:14:15
ERL-0087,USR-0052,CORS-0095,2024-09-12 10:17:14
ERL-0088,USR-0009,CORS-0087,2025-11-17 21:12:13
ERL-0089,USR-0016,CORS-0047,2025-01-05 14:01:48
ERL-0090,USR-0081,CORS-0033,2024-12-10 00:41:29
ERL-0091,USR-0045,CORS-0068,2025-10-28 17:51:30
ERL-0092,USR-0057,CORS-0068,2025-12-20 04:24:19
ERL-0093,USR-0009,CORS-0066,2025-04-27 06:10:39
ERL-0094,USR-0024,CORS-0085,2025-02-08 15:36:55
ERL-0095,USR-0054,CORS-0050,2025-05-21 21:46:50
ERL-0096,USR-0070,CORS-0034,2026-01-07 07:46:36
ERL-0097,USR-0013,CORS-0082,2024-10-21 03:58:51
ERL-0098,USR-0091,CORS-0052,2025-04-16 03:04:25
ERL-0099,USR-0097,CORS-0094,2024-06-18 14:43:47
ERL-0100,USR-0075,CORS-0095,2025-06-17 11:26:18
