activity_id,user_id,lesson_id,activity_status
ACT-0001,USR-0012,LES-0003,Not Started
ACT-0002,USR-0073,LES-0080,In Progress
ACT-0003,USR-0036,LES-0021,Completed
ACT-0004,USR-0014,LES-0063,Completed
ACT-0005,USR-0052,LES-0029,Not Started
ACT-0006,USR-0073,LES-0020,Completed
ACT-0007,USR-0027,LES-0058,Not Started
ACT-0008,USR-0072,LES-0096,Not Started
ACT-0009,USR-0085,LES-0096,In Progress
ACT-0010,USR-0083,LES-0046,Completed
ACT-0011,USR-0062,LES-0084,In Progress
ACT-0012,USR-0066,LES-0019,Not Started
ACT-0013,USR-0092,LES-0007,Completed
ACT-0014,USR-0021,LES-0090,Completed
ACT-0015,USR-0032,LES-0008,In Progress
ACT-0016,USR-0099,LES-0006,In Progress
ACT-0017,USR-0045,LES-0014,Not Started
ACT-0018,USR-0075,LES-0028,Completed
ACT-0019,USR-0067,LES-0001,Completed
ACT-0020,USR-0060,LES-0088,Not Started
ACT-0021,USR-0088,LES-0056,Not Started
ACT-0022,USR-0098,LES-0075,In Progress
ACT-0023,USR-0082,LES-0036,In Progress
ACT-0024,USR-0078,LES-0036,In Progress
ACT-0025,USR-0010,LES-0053,Not Started
ACT-0026,USR-0095,LES-0004,In Progress
ACT-0027,USR-0099,LES-0018,In Progress
ACT-0028,USR-0013,LES-0098,Completed
ACT-0029,USR-0037,LES-0062,Not Started
ACT-0030,USR-0082,LES-0089,Not Started
ACT-0031,USR-0085,LES-0097,Completed
ACT-0032,USR-0032,LES-0046,Completed
ACT-0033,USR-0062,LES-0013,Not Started
ACT-0034,USR-0059,LES-0098,Not Started
ACT-0035,USR-0001,LES-0035,In Progress
ACT-0036,USR-0001,LES-0087,In Progress
ACT-0037,USR-0022,LES-0044,Not Started
ACT-0038,USR-0009,LES-0012,In Progress
ACT-0039,USR-0079,LES-0035,Completed
ACT-0040,USR-0066,LES-0069,Not Started
ACT-0041,USR-0023,LES-0032,In Progress
ACT-0042,USR-0089,LES-0041,Completed
ACT-0043,USR-0018,LES-0019,In Progress
ACT-0044,USR-0065,LES-0019,Not Started
ACT-0045,USR-0056,LES-0021,Completed
ACT-0046,USR-0099,LES-0095,Not Started
ACT-0047,USR-0034,LES-0029,In Progress
ACT-0048,USR-0093,LES-0015,Not Started
ACT-0049,USR-0001,LES-0082,Not Started
ACT-0050,USR-0057,LES-0030,In Progress
ACT-0051,USR-0026,LES-0100,In Progress
ACT-0052,USR-0047,LES-0033,Not Started
ACT-0053,USR-0020,LES-0037,Completed
ACT-0054,USR-0094,LES-0071,Not Started
ACT-0055,USR-0018,LES-0069,Not Started
ACT-0056,USR-0099,LES-0031,In Progress
ACT-0057,USR-0014,LES-0072,Not Started
ACT-0058,USR-0043,LES-0040,Completed
ACT-0059,USR-0011,LES-0068,In Progress
ACT-0060,USR-0008,LES-0093,In Progress
ACT-0061,USR-0022,LES-0044,Not Started
ACT-0062,USR-0099,LES-0021,Not Started
ACT-0063,USR-0085,LES-0025,Completed
ACT-0064,USR-0086,LES-0014,Completed
ACT-0065,USR-0055,LES-0016,In Progress
ACT-0066,USR-0010,LES-0011,Completed
ACT-0067,USR-0074,LES-0100,Completed
ACT-0068,USR-0044,LES-0065,Not Started
ACT-0069,USR-0041,LES-0055,In Progress
ACT-0070,USR-0010,LES-0014,Completed
ACT-0071,USR-0091,LES-0058,Completed
ACT-0072,USR-0086,LES-0014,Not Started
ACT-0073,USR-0011,LES-0073,Completed
ACT-0074,USR-0025,LES-0072,Not Started
ACT-0075,USR-0089,LES-0083,Not Started
ACT-0076,USR-0059,LES-0043,Completed
ACT-0077,USR-0042,LES-0093,Completed
ACT-0078,USR-0038,LES-0039,In Progress
ACT-0079,USR-0026,LES-0004,Not Started
ACT-0080,USR-0003,LES-0099,Completed
ACT-0081,USR-0077,LES-0034,Not Started
ACT-0082,USR-0096,LES-0051,In Progress
ACT-0083,USR-0020,LES-0024,Completed
ACT-0084,USR-0010,LES-0092,Completed
ACT-0085,USR-0067,LES-0082,Completed
ACT-0086,USR-0053,LES-0081,In Progress
ACT-0087,USR-0048,LES-0018,In Progress
ACT-0088,USR-0023,LES-0033,In Progress
ACT-0089,USR-0041,LES-0072,Completed
ACT-0090,USR-0001,LES-0067,Completed
ACT-0091,USR-0022,LES-0098,Completed
ACT-0092,USR-0068,LES-0076,In Progress
ACT-0093,USR-0035,LES-0001,In Progress
ACT-0094,USR-0038,LES-0038,Completed
ACT-0095,USR-0096,LES-0081,In Progress
ACT-0096,USR-0080,LES-0002,Completed
ACT-0097,USR-0092,LES-0095,Completed
ACT-0098,USR-0072,LES-0046,In Progress
ACT-0099,USR-0048,LES-0093,Not Started
ACT-0100,USR-0004,LES-0034,Not Started
