tenant_id,tenant_name,tenant_status
TNT-0001,Sutton-Martinez ,Inactive
TNT-0002,Decker-Adams ,Suspended
TNT-0003,"Harper, Flowers and Porter ",Inactive
TNT-0004,Munoz-Cummings ,Inactive
TNT-0005,"Riley, Thompson and Powell ",Suspended
TNT-0006,Mendoza Group ,Inactive
TNT-0007,Pham-Ramirez ,Active
TNT-0008,"Hayden, Smith and Smith ",Inactive
TNT-0009,White Inc ,Suspended
TNT-0010,"White, Thomas and Porter ",Inactive
TNT-0011,Hernandez-Duncan ,Active
TNT-0012,Flynn-Cox ,Inactive
TNT-0013,Delacruz-Shelton ,Active
TNT-0014,"Lynch, Salinas and Newman ",Active
TNT-0015,Hernandez-Smith ,Suspended
TNT-0016,Parker PLC ,Suspended
TNT-0017,Adams-Alexander ,Suspended
TNT-0018,Moore-Miller ,Active
TNT-0019,"Robertson, Orozco and Hines ",Suspended
TNT-0020,"Watson, Wilson and Riley ",Suspended
TNT-0021,Roy Ltd ,Active
TNT-0022,Kaufman-Rivera ,Suspended
TNT-0023,Campbell-Lowe ,Suspended
TNT-0024,"Burnett, Phillips and Oliver ",Inactive
TNT-0025,Martin-Alexander ,Inactive
TNT-0026,Escobar Inc ,Suspended
TNT-0027,"Long, Callahan and Miller ",Active
TNT-0028,Bean-Garcia ,Inactive
TNT-0029,"Sutton, David and Turner ",Active
TNT-0030,"Owen, Barnes and Werner ",Active
TNT-0031,"Frederick, Lee and Fuller ",Suspended
TNT-0032,"Briggs, Hutchinson and Matthews ",Suspended
TNT-0033,Moyer Inc ,Suspended
TNT-0034,"Hayes, Burns and Turner ",Inactive
TNT-0035,Lynch-Parker ,Active
TNT-0036,"Cline, Barron and Smith ",Active
TNT-0037,Nelson-Barnett ,Suspended
TNT-0038,Hansen-Ashley ,Inactive
TNT-0039,Sandoval PLC ,Suspended
TNT-0040,"Gonzales, Hensley and Phillips ",Active
TNT-0041,Herring-Lawson ,Suspended
TNT-0042,Morgan Inc ,Inactive
TNT-0043,Cruz-Mcknight ,Inactive
TNT-0044,"Barrera, Blackwell and Hill ",Suspended
TNT-0045,"Smith, Cook and Wilson ",Active
TNT-0046,Kim-Gutierrez ,Inactive
TNT-0047,Kaiser-Crawford ,Inactive
TNT-0048,"Rodriguez, Rosales and Jackson ",Suspended
TNT-0049,Murphy-Schneider ,Active
TNT-0050,Armstrong PLC ,Inactive
TNT-0051,Rocha Ltd ,Inactive
TNT-0052,"Williams, Wilson and Jackson ",Suspended
TNT-0053,Villegas-Andrade ,Suspended
TNT-0054,Mercado-Navarro ,Active
TNT-0055,Gonzalez-Nguyen ,Inactive
TNT-0056,Sharp LLC ,Active
TNT-0057,Thompson-Ryan ,Inactive
TNT-0058,"Singh, Morris and Burke ",Suspended
TNT-0059,"Cherry, Smith and Lopez ",Inactive
TNT-0060,"Smith, Smith and Maynard ",Inactive
TNT-0061,"Mccormick, Richardson and Murphy ",Active
TNT-0062,"Jensen, Johns and Hester ",Active
TNT-0063,Jackson-Williams ,Active
TNT-0064,Bartlett PLC ,Active
TNT-0065,Pineda Ltd ,Active
TNT-0066,Johnson LLC ,Suspended
TNT-0067,Burgess-Lane ,Inactive
TNT-0068,Perkins-Hughes ,Inactive
TNT-0069,Harris-Todd ,Active
TNT-0070,Campbell-Pierce ,Suspended
TNT-0071,Gonzalez-Walker ,Active
TNT-0072,Miller-Poole ,Active
TNT-0073,"Ewing, Benjamin and Dillon ",Suspended
TNT-0074,Hawkins LLC ,Inactive
TNT-0075,Goodwin Group ,Inactive
TNT-0076,"Matthews, Rodgers and Parks ",Inactive
TNT-0077,Roberson-Dodson ,Inactive
TNT-0078,Smith-Patton ,Active
TNT-0079,Williams and Sons ,Suspended
TNT-0080,Tyler Ltd ,Inactive
TNT-0081,Garrett Group ,Active
TNT-0082,Howard-Dickson ,Active
TNT-0083,Osborn Group ,Suspended
TNT-0084,Rowland-Brewer ,Suspended
